sessionId,participantId,roundIndexInSession,studyLabel,testMode,frameIndex,timeSinceRoundStartSec,unscaledDeltaMs,mouseX,mouseY,mouseDeltaX,mouseDeltaY,virtualX,virtualY,ufoX,ufoY,ufoZ,towerX,towerZ,signedDistToTowerX,side,leftButtonDown,leftButtonPressed,rightButtonDown,fireKeyDown,stimulusMs,spikeFired,stallMs,cfg_label,cfg_testMode,cfg_useStaircase,cfg_useManualLevelList,cfg_roundsPerSession,cfg_roundDurationSec,cfg_closeRadius,cfg_showHitZone,cfg_crossingDeadZone,cfg_fireCooldown,cfg_revealHoldSec,cfg_maxPoints,cfg_missPoints,cfg_ftFallbackMagnitudeMs,cfg_ftUseBusyWait,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD,cfg_startDropFps,cfg_minDropFps,cfg_maxDropFps,cfg_baselineFps,cfg_startMs,cfg_minMs,cfg_maxMs,cfg_startMult,cfg_minMult,cfg_maxMult,cfg_coarseFactor,cfg_fineStep,cfg_reversals,cfg_revAvg,cfg_manualStartIndex,cfg_manualLevels
10,P010,1,ft_jnd,FrameTimeStutter,0,0.00000,3.8436,1493.25,1081.86,0.000,0.000,1493.25,1081.86,3.8993,7.6165,0.0000,-11.1988,0.0000,15.0981,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
10,P010,1,ft_jnd,FrameTimeStutter,1,0.00414,4.1366,1493.25,1081.86,0.000,0.000,1493.25,1081.86,3.8993,7.6165,0.0000,-11.1988,0.0000,15.0981,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
10,P010,1,ft_jnd,FrameTimeStutter,2,0.00762,3.4879,1493.25,1081.86,0.000,0.000,1493.25,1081.86,3.8993,7.6165,0.0000,-11.1988,0.0000,15.0981,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
10,P010,1,ft_jnd,FrameTimeStutter,3,0.01221,4.5891,1493.25,1081.86,0.000,0.000,1493.25,1081.86,3.8993,7.6165,0.0000,-11.1988,0.0000,15.0981,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
10,P010,1,ft_jnd,FrameTimeStutter,4,0.01625,4.0370,1493.25,1081.86,0.000,0.000,1493.25,1081.86,3.8993,7.6165,0.0000,-11.1988,0.0000,15.0981,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
10,P010,1,ft_jnd,FrameTimeStutter,5,0.02074,4.4875,1493.25,1081.86,0.000,0.000,1493.25,1081.86,3.8993,7.6165,0.0000,-11.1988,0.0000,15.0981,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
10,P010,1,ft_jnd,FrameTimeStutter,6,0.02499,4.2567,1493.25,1081.86,0.000,0.000,1493.25,1081.86,3.8993,7.6165,0.0000,-11.1988,0.0000,15.0981,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
10,P010,1,ft_jnd,FrameTimeStutter,7,0.02793,2.9398,1493.25,1081.86,0.000,0.000,1493.25,1081.86,3.8993,7.6165,0.0000,-11.1988,0.0000,15.0981,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
10,P010,1,ft_jnd,FrameTimeStutter,8,0.03161,3.6724,1493.25,1081.86,0.000,0.000,1493.25,1081.86,3.8993,7.6165,0.0000,-11.1988,0.0000,15.0981,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
10,P010,1,ft_jnd,FrameTimeStutter,9,0.03448,2.8708,1493.25,1081.86,0.000,0.000,1493.25,1081.86,3.8993,7.6165,0.0000,-11.1988,0.0000,15.0981,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
