sessionId,participantId,roundIndexInSession,studyLabel,testMode,frameIndex,timeSinceRoundStartSec,unscaledDeltaMs,mouseX,mouseY,mouseDeltaX,mouseDeltaY,virtualX,virtualY,ufoX,ufoY,ufoZ,towerX,towerZ,signedDistToTowerX,side,leftButtonDown,leftButtonPressed,rightButtonDown,fireKeyDown,stimulusMs,spikeFired,stallMs,cfg_label,cfg_testMode,cfg_useStaircase,cfg_useManualLevelList,cfg_roundsPerSession,cfg_roundDurationSec,cfg_closeRadius,cfg_showHitZone,cfg_crossingDeadZone,cfg_fireCooldown,cfg_revealHoldSec,cfg_maxPoints,cfg_missPoints,cfg_ftFallbackMagnitudeMs,cfg_ftUseBusyWait,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD,cfg_startDropFps,cfg_minDropFps,cfg_maxDropFps,cfg_baselineFps,cfg_startMs,cfg_minMs,cfg_maxMs,cfg_startMult,cfg_minMult,cfg_maxMult,cfg_coarseFactor,cfg_fineStep,cfg_reversals,cfg_revAvg,cfg_manualStartIndex,cfg_manualLevels
18,P018,1,ft_jnd,FrameTimeStutter,0,0.00000,4.4655,2044.26,1105.08,0.000,0.000,2044.26,1105.08,-13.3042,8.0412,0.0000,-5.0073,0.0000,-8.2970,Left,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
18,P018,1,ft_jnd,FrameTimeStutter,1,0.00457,4.5652,2044.26,1105.08,0.000,0.000,2044.26,1105.08,-13.3042,8.0412,0.0000,-5.0073,0.0000,-8.2970,Left,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
18,P018,1,ft_jnd,FrameTimeStutter,2,0.00896,4.3959,2044.26,1105.08,0.000,0.000,2044.26,1105.08,-13.3042,8.0412,0.0000,-5.0073,0.0000,-8.2970,Left,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
18,P018,1,ft_jnd,FrameTimeStutter,3,0.01331,4.3449,2044.26,1105.08,0.000,0.000,2044.26,1105.08,-13.3042,8.0412,0.0000,-5.0073,0.0000,-8.2970,Left,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
18,P018,1,ft_jnd,FrameTimeStutter,4,0.01721,3.9053,2044.26,1105.08,0.000,0.000,2044.26,1105.08,-13.3042,8.0412,0.0000,-5.0073,0.0000,-8.2970,Left,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
18,P018,1,ft_jnd,FrameTimeStutter,5,0.02154,4.3316,2044.26,1105.08,0.000,0.000,2044.26,1105.08,-13.3042,8.0412,0.0000,-5.0073,0.0000,-8.2970,Left,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
18,P018,1,ft_jnd,FrameTimeStutter,6,0.02588,4.3362,2044.26,1105.08,0.000,0.000,2044.26,1105.08,-13.3042,8.0412,0.0000,-5.0073,0.0000,-8.2970,Left,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
18,P018,1,ft_jnd,FrameTimeStutter,7,0.02929,3.4122,2044.26,1105.08,0.000,0.000,2044.26,1105.08,-13.3042,8.0412,0.0000,-5.0073,0.0000,-8.2970,Left,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
18,P018,1,ft_jnd,FrameTimeStutter,8,0.03310,3.8132,2044.26,1105.08,0.000,0.000,2044.26,1105.08,-13.3042,8.0412,0.0000,-5.0073,0.0000,-8.2970,Left,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
18,P018,1,ft_jnd,FrameTimeStutter,9,0.03740,4.2923,2044.26,1105.08,0.000,0.000,2044.26,1105.08,-13.3042,8.0412,0.0000,-5.0073,0.0000,-8.2970,Left,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
